sample_id,year,special,channel,coder,coder_id,news_unanimous,news_majority,news_coded,geography_unanimous,geography_majority,geography_coded
20,1968,TRUE,NBC,2,43879440,hard,hard,hard,national,national,national
20,1968,TRUE,NBC,3,33359860,hard,hard,hard,national,national,national
59290,1968,FALSE,NBC,1,45183934,hard,hard,hard,national,national,national
59290,1968,FALSE,NBC,2,45547205,hard,hard,hard,national,national,national
59290,1968,FALSE,NBC,3,45348963,hard,hard,hard,national,national,national
642894,1968,TRUE,NBC,1,45348963,hard,hard,hard,national,national,national
642894,1968,TRUE,NBC,2,45155893,hard,hard,hard,national,national,national
642894,1968,TRUE,NBC,3,45347927,hard,hard,hard,national,national,national
653397,1968,FALSE,ABC,1,45183934,hard,hard,hard,NA,international,international
653397,1968,FALSE,ABC,2,45547205,hard,hard,hard,NA,international,international
653397,1968,FALSE,ABC,3,45348963,hard,hard,hard,NA,international,national
48,1968,TRUE,NBC,1,45126470,hard,hard,hard,national,national,national
48,1968,TRUE,NBC,2,45686132,hard,hard,hard,national,national,national
48,1968,TRUE,NBC,3,45703284,hard,hard,hard,national,national,national
89,1968,TRUE,CBS,1,43879440,hard,hard,hard,national,national,national
89,1968,TRUE,CBS,2,36985538,hard,hard,hard,national,national,national
89,1968,TRUE,CBS,3,33256761,hard,hard,hard,national,national,national
111,1968,TRUE,CBS,1,43879440,hard,hard,hard,national,national,national
111,1968,TRUE,CBS,2,36985538,hard,hard,hard,national,national,national
111,1968,TRUE,CBS,3,33256761,hard,hard,hard,national,national,national
106,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
106,1968,TRUE,CBS,2,44975113,hard,hard,hard,national,national,national
106,1968,TRUE,CBS,3,45204515,hard,hard,hard,national,national,national
69,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
69,1968,TRUE,CBS,2,44975113,hard,hard,hard,national,national,national
69,1968,TRUE,CBS,3,45204515,hard,hard,hard,national,national,national
655247,1968,FALSE,ABC,1,45348963,hard,hard,hard,national,national,national
655247,1968,FALSE,ABC,2,44975113,hard,hard,hard,national,national,national
655247,1968,FALSE,ABC,3,45204515,hard,hard,hard,national,national,national
50,1968,TRUE,NBC,1,44975113,hard,hard,hard,national,national,national
50,1968,TRUE,NBC,2,43879440,hard,hard,hard,national,national,national
50,1968,TRUE,NBC,3,33359860,hard,hard,hard,national,national,national
645763,1968,FALSE,CBS,1,45348963,hard,hard,hard,NA,national,national
645763,1968,FALSE,CBS,2,45180724,hard,hard,hard,NA,national,international
645763,1968,FALSE,CBS,3,44944563,hard,hard,hard,NA,national,national
643651,1968,FALSE,ABC,1,45348963,hard,hard,hard,national,national,national
643651,1968,FALSE,ABC,2,45544038,hard,hard,hard,national,national,national
643651,1968,FALSE,ABC,3,45567834,hard,hard,hard,national,national,national
662242,1968,FALSE,CBS,1,33359860,hard,hard,hard,NA,national,national
662242,1968,FALSE,CBS,2,45156664,hard,hard,hard,NA,national,international
662242,1968,FALSE,CBS,3,45183934,hard,hard,hard,NA,national,national
60,1968,TRUE,ABC,1,44975113,hard,hard,hard,national,national,national
60,1968,TRUE,ABC,2,45599621,hard,hard,hard,national,national,national
60,1968,TRUE,ABC,3,45637649,hard,hard,hard,national,national,national
26,1968,TRUE,NBC,1,45183934,NA,hard,not_clear,national,national,national
26,1968,TRUE,NBC,2,45547205,NA,hard,hard,national,national,national
26,1968,TRUE,NBC,3,45348963,NA,hard,hard,national,national,national
137,1968,TRUE,NBC,1,45183934,hard,hard,hard,national,national,national
137,1968,TRUE,NBC,2,45547205,hard,hard,hard,national,national,national
137,1968,TRUE,NBC,3,45348963,hard,hard,hard,national,national,national
647972,1968,FALSE,NBC,1,45348963,NA,hard,hard,NA,national,national
647972,1968,FALSE,NBC,2,45180724,NA,hard,hard,NA,national,national
647972,1968,FALSE,NBC,3,44944563,NA,hard,soft,NA,national,not_clear
662819,1968,FALSE,CBS,1,45348963,hard,hard,hard,NA,national,national
662819,1968,FALSE,CBS,2,45544038,hard,hard,hard,NA,national,international
662819,1968,FALSE,CBS,3,45567834,hard,hard,hard,NA,national,national
58,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
58,1968,TRUE,CBS,2,45544038,hard,hard,hard,national,national,national
58,1968,TRUE,CBS,3,45567834,hard,hard,hard,national,national,national
111903,1968,FALSE,NBC,1,45183934,hard,hard,hard,NA,international,international
111903,1968,FALSE,NBC,2,45547205,hard,hard,hard,NA,international,international
111903,1968,FALSE,NBC,3,45348963,hard,hard,hard,NA,international,national
